[2024-12-30 18:32:47 INFO]: endpoint: , Controller: /Applications/XAMPP/xamppfiles/htdocs/Orchestra-Framework/Orchestra/database/RecordBuilder.php, message: SELECT * FROM sessions WHERE session_id = ?
[2024-12-30 18:32:47 INFO]: endpoint: , Controller: /Applications/XAMPP/xamppfiles/htdocs/Orchestra-Framework/Orchestra/forte/Forte.php, message: Array
[2024-12-30 18:32:47 INFO]: endpoint: , Controller: /Applications/XAMPP/xamppfiles/htdocs/Orchestra-Framework/Orchestra/database/RecordBuilder.php, message: SELECT * FROM user WHERE id = ?
[2024-12-30 18:33:07 INFO]: endpoint: , Controller: /Applications/XAMPP/xamppfiles/htdocs/Orchestra-Framework/Orchestra/forte/Forte.php, message: a1b2c3d4e5f6g7h8i9j0
[2024-12-30 18:33:07 INFO]: endpoint: , Controller: /Applications/XAMPP/xamppfiles/htdocs/Orchestra-Framework/Orchestra/database/RecordBuilder.php, message: SELECT * FROM sessions WHERE session_id = ?
[2024-12-30 18:33:07 INFO]: endpoint: , Controller: /Applications/XAMPP/xamppfiles/htdocs/Orchestra-Framework/Orchestra/forte/Forte.php, message: Array
[2024-12-30 18:33:07 INFO]: endpoint: , Controller: /Applications/XAMPP/xamppfiles/htdocs/Orchestra-Framework/Orchestra/database/RecordBuilder.php, message: SELECT * FROM user WHERE id = ?
[2024-12-30 18:33:53 INFO]: endpoint: , Controller: /Applications/XAMPP/xamppfiles/htdocs/Orchestra-Framework/Orchestra/database/RecordBuilder.php, message: SELECT * FROM sessions WHERE session_id = ?
[2024-12-30 18:33:53 INFO]: endpoint: , Controller: /Applications/XAMPP/xamppfiles/htdocs/Orchestra-Framework/Orchestra/database/RecordBuilder.php, message: SELECT * FROM user WHERE id = ?
[2024-12-30 18:34:28 INFO]: endpoint: , Controller: /Applications/XAMPP/xamppfiles/htdocs/Orchestra-Framework/Orchestra/database/RecordBuilder.php, message: SELECT * FROM sessions WHERE session_id = ?
[2024-12-30 18:34:28 INFO]: endpoint: , Controller: /Applications/XAMPP/xamppfiles/htdocs/Orchestra-Framework/Orchestra/database/RecordBuilder.php, message: SELECT * FROM user WHERE id = ?
[2024-12-30 18:50:08 INFO]: endpoint: , Controller: /Applications/XAMPP/xamppfiles/htdocs/Orchestra-Framework/Orchestra/database/RecordBuilder.php, message: SELECT * FROM sessions WHERE session_id = ?
[2024-12-30 18:50:08 INFO]: endpoint: , Controller: /Applications/XAMPP/xamppfiles/htdocs/Orchestra-Framework/Orchestra/database/RecordBuilder.php, message: SELECT * FROM user WHERE id = ?
